Year,Title,Source,Link,Output,Task,Query,Structured,Cost,Model,Learning,Start,Stop,Others
2020,Active Imitation Learning with Noisy Guidance,ACL,https://aclanthology.org/2020.acl-main.189,Sequence_labeling,"NER,POS","Uncertainty,Performance_prediction",Partial,-,-,Weak_supervision,-,-,-
2020,Camouflaged Chinese Spam Content Detection with Semi-supervised Generative Active Learning,ACL,https://aclanthology.org/2020.acl-main.279,Classification,Classification,Uncertainty,-,-,-,-,-,-,-
2020,Empowering Active Learning to Jointly Optimize System and User Demands,ACL,https://aclanthology.org/2020.acl-main.390,Classification,Others,"Uncertainty,Others(special)",-,-,-,-,-,-,-
2020,Active Learning for Coreference Resolution using Discrete Annotation,ACL,https://aclanthology.org/2020.acl-main.738,Complex_structured_prediction,Coreference,"Uncertainty,Disagreement",Partial,Measurement,-,-,-,-,-
2020,Fine-tuning BERT for Low-Resource Natural Language Understanding via Active Learning,ACL,https://aclanthology.org/2020.coling-main.100,Classification,"Classification,Others","Uncertainty,Disagreement",-,-,-,-,-,-,-
2020,Pre-trained Language Model Based Active Learning for Sentence Matching,ACL,https://aclanthology.org/2020.coling-main.130,Classification,Others,"Uncertainty,Batch_diversity,Hybrid(multi_step)",-,-,-,-,-,-,-
2020,A Multitask Active Learning Framework for Natural Language Understanding,ACL,https://aclanthology.org/2020.coling-main.430,Sequence_labeling,NLU,Uncertainty,Full,-,-,-,-,-,Multiple_targets
2020,ALICE: Active Learning with Contrastive Natural Language Explanations,ACL,https://aclanthology.org/2020.emnlp-main.355,Generation,Others,Others(special),-,-,-,-,-,-,-
2020,Learning Structured Representations of Entity Names using Active Learning and Weak Supervision,ACL,https://aclanthology.org/2020.emnlp-main.517,Sequence_labeling,Others,"Uncertainty,Density",-,-,-,Weak_supervision,-,-,-
2020,Textual Data Augmentation for Efficient Active Learning on Tiny Datasets,ACL,https://aclanthology.org/2020.emnlp-main.600,Classification,Classification,"Uncertainty,Discriminative",-,-,-,Data_augmentation,-,-,-
2020,Cold-start Active Learning through Self-supervised Language Modeling,ACL,https://aclanthology.org/2020.emnlp-main.637,Classification,Classification,"Uncertainty,Batch_diversity,Hybrid(integrated)",-,-,-,-,Seed,-,-
2020,Active Learning for BERT: An Empirical Study,ACL,https://aclanthology.org/2020.emnlp-main.638,Classification,Classification,"Uncertainty,Disagreement,Gradient,Discriminative,Batch_diversity",-,-,-,-,-,-,Data_imbalance
2020,SeqMix: Augmenting Active Sequence Labeling via Sequence Mixup,ACL,https://aclanthology.org/2020.emnlp-main.691,Sequence_labeling,"NER,Event","Uncertainty,Disagreement",-,-,-,Data_augmentation,-,-,-
2020,Active Learning Approaches to Enhancing Neural Machine Translation,ACL,https://aclanthology.org/2020.findings-emnlp.162,Generation,MT,"Uncertainty,Density,Discriminative,Batch_diversity",Full,-,-,Data_augmentation,-,-,-
2020,On the Importance of Adaptive Data Collection for Extremely Imbalanced Pairwise Tasks,ACL,https://aclanthology.org/2020.findings-emnlp.305,Classification,Others,Uncertainty,-,-,-,-,Seed,-,Data_imbalance
2020,Active Sentence Learning by Adversarial Uncertainty Sampling in Discrete Space,ACL,https://aclanthology.org/2020.findings-emnlp.441,"Classification,Sequence_labeling","Classification,NER",Uncertainty,-,Wait_time,-,-,-,-,-
2020,Optimizing Annotation Effort Using Active Learning Strategies: A Sentiment Analysis Case Study in Persian,ACL,https://aclanthology.org/2020.lrec-1.348,Classification,Classification,"Uncertainty,Batch_diversity,Hybrid(multi_step)",-,Wait_time,-,-,-,-,-
2020,Enhanced Labelling in Active Learning for Coreference Resolution,ACL,https://aclanthology.org/2020.crac-1.12,Complex_structured_prediction,Coreference,Uncertainty,Partial,Measurement,-,-,-,-,-
2020,Constructing a Korean Named Entity Recognition Dataset for the Financial Domain using Active Learning,ACL,https://aclanthology.org/2020.icon-main.27,Sequence_labeling,NER,Uncertainty,-,-,-,-,-,-,-
